Window_Idx,PDR,Max_Burst
733,0.92,2
734,0.93,1
735,0.95,1
736,0.93,1
737,0.91,1
738,0.92,2
739,0.97,1
740,0.99,1
741,0.92,1
742,0.88,1
743,0.96,1
744,0.99,1
745,0.97,1
746,0.89,2
747,0.9,2
748,0.86,3
749,0.95,1
750,0.91,2
751,0.99,1
752,0.95,1
753,0.88,3
754,0.95,1
755,0.86,2
756,0.93,4
757,0.87,3
758,0.92,2
759,0.95,1
760,0.88,2
761,0.93,1
762,0.94,1
763,1.0,0
764,0.96,1
765,0.87,3
766,0.98,1
767,0.9,3
768,0.94,1
769,0.99,1
770,0.96,1
771,0.94,1
772,0.99,1
773,1.0,0
774,0.96,2
775,0.95,1
776,1.0,0
777,0.97,1
778,0.83,2
779,0.94,1
780,0.92,2
781,0.96,1
782,0.95,2
783,0.94,1
784,0.91,2
785,0.96,1
786,0.94,2
787,0.95,1
788,0.96,1
789,0.95,1
790,0.81,4
791,0.89,3
792,0.87,1
793,0.93,1
794,0.85,2
795,0.93,1
796,0.94,2
797,0.97,1
798,0.93,1
799,0.93,1
800,0.96,1
801,0.96,1
802,0.91,2
803,1.0,0
804,0.99,1
805,0.96,2
806,0.98,1
807,0.93,2
808,0.96,1
809,0.97,2
810,0.98,1
811,0.97,1
812,0.99,1
813,0.97,3
814,0.96,1
815,0.99,1
816,0.95,1
817,0.96,2
818,0.96,1
819,1.0,0
820,0.98,1
821,0.96,1
822,0.97,1
823,0.97,1
824,0.91,3
825,0.88,1
826,0.94,2
827,0.89,2
828,0.97,1
829,0.97,1
830,0.94,2
831,0.96,1
832,0.99,1
833,0.97,1
834,0.9,2
835,0.93,1
836,0.97,1
837,0.99,1
838,0.92,5
839,0.88,4
840,0.99,1
841,0.98,1
842,0.93,3
843,0.91,3
844,1.0,0
845,0.96,1
846,0.94,2
847,0.91,2
848,0.95,1
849,0.89,2
850,0.97,1
851,0.94,1
852,0.96,1
853,0.9,2
854,0.89,3
855,0.91,1
856,0.94,2
857,0.87,3
858,0.89,2
859,0.96,1
860,0.95,1
861,0.89,2
862,0.97,1
863,0.93,1
864,0.9,3
865,0.97,1
866,0.9,2
867,0.92,1
868,0.86,2
869,0.88,3
870,0.94,1
871,0.97,1
872,0.91,2
873,1.0,0
874,0.95,2
875,0.96,1
876,0.99,1
877,0.96,1
878,0.97,1
879,0.99,1
880,0.9,1
881,0.89,2
882,0.89,2
883,0.94,2
884,0.89,2
885,0.87,3
886,0.94,2
887,0.94,1
888,0.94,1
889,0.95,2
890,0.81,3
891,0.87,3
892,0.82,2
893,0.95,2
894,0.84,2
895,0.87,2
896,0.85,2
897,0.93,2
898,0.87,2
899,0.9,3
900,0.96,1
901,0.91,1
902,0.81,2
903,0.85,3
904,0.82,2
905,0.86,2
906,0.98,1
907,0.87,2
908,0.91,2
909,0.91,2
910,0.97,2
911,0.92,1
912,0.94,1
913,0.94,1
914,0.95,1
915,0.89,2
916,0.83,3
917,0.8,2
918,0.85,3
919,0.86,2
920,0.87,2
921,0.95,1
922,0.92,2
923,0.95,1
924,0.95,1
925,0.77,4
926,0.96,1
927,0.91,1
928,0.85,2
929,0.79,3
930,0.89,3
931,0.8,2
932,0.87,1
933,0.82,2
934,0.79,3
935,0.84,2
936,0.98,1
937,1.0,0
938,0.9,3
939,0.82,2
940,0.83,2
941,0.92,2
942,0.82,3
943,0.92,1
944,0.93,2
945,0.91,2
946,0.96,3
947,0.94,1
948,0.86,2
949,0.94,1
950,0.85,4
951,0.89,4
952,0.94,1
953,0.91,2
954,0.87,3
955,0.82,14
956,0.91,2
957,0.53,40
958,0.36,33
959,0.88,2
960,0.97,1
961,0.67,21
962,0.0,100
963,0.87,6
964,0.59,22
965,0.86,2
966,0.86,2
967,0.84,4
968,0.32,53
969,0.0,100
970,0.2,78
971,0.9,2
972,0.89,1
973,0.38,54
974,0.68,9
975,0.86,2
976,0.84,4
977,0.9,2
978,0.9,3
979,0.37,40
980,0.91,3
981,0.84,2
982,0.87,2
983,0.88,2
984,0.92,1
985,0.96,1
986,0.83,2
987,0.97,1
988,0.1,84
989,0.14,42
990,0.74,9
991,0.83,3
992,0.71,3
993,0.82,3
994,0.88,1
995,0.93,1
996,0.92,1
997,0.9,1
998,0.96,1
999,0.93,2
1000,0.76,3
1001,0.78,3
1002,0.84,2
1003,0.71,19
1004,0.79,3
1005,0.54,29
1006,0.54,36
1007,0.48,46
1008,0.12,86
1009,0.23,48
1010,0.0,100
1011,0.0,100
1012,0.0,100
1013,0.0,100
1014,0.0,100
1015,0.8,18
1016,0.98,1
1017,0.91,1
1018,0.88,1
1019,0.87,1
1020,0.96,1
1021,0.94,1
1022,0.88,1
1023,0.89,1
1024,0.96,2
1025,0.51,44
1026,0.0,100
1027,0.1,67
1028,0.0,100
1029,0.0,100
1030,0.0,100
1031,0.0,100
1032,0.08,56
1033,0.0,100
1034,0.07,52
1035,0.6,8
1036,0.79,3
1037,0.82,2
1038,0.74,10
1039,0.86,2
1040,0.83,2
1041,0.8,2
1042,0.86,2
1043,0.86,2
1044,0.94,1
1045,0.88,2
1046,0.98,1
1047,0.98,1
1048,0.94,1
1049,0.94,2
1050,0.87,2
1051,0.84,2
1052,0.85,3
1053,0.8,3
1054,0.8,2
1055,0.84,2
1056,0.87,2
1057,0.86,1
1058,0.92,1
1059,0.95,2
1060,0.92,1
1061,0.89,3
1062,0.77,3
1063,0.76,4
1064,0.82,2
1065,0.81,3
1066,0.76,5
1067,0.86,3
1068,0.84,2
1069,0.91,1
1070,0.9,1
1071,0.91,1
1072,0.94,1
1073,0.94,1
1074,0.92,2
1075,0.82,2
1076,0.79,3
1077,0.93,3
1078,0.92,2
1079,0.94,2
1080,0.89,2
1081,0.98,1
1082,0.89,2
1083,0.96,1
1084,0.93,1
1085,0.94,2
1086,0.93,2
1087,0.94,2
1088,0.91,2
1089,0.98,1
1090,0.95,1
1091,0.91,1
1092,0.83,2
1093,0.94,1
1094,0.97,1
1095,0.92,1
1096,0.97,1
1097,0.92,1
1098,0.91,1
1099,0.86,3
1100,0.88,1
1101,0.92,2
1102,0.91,1
1103,0.87,1
1104,0.78,3
1105,0.85,2
1106,0.89,2
1107,0.92,1
1108,0.91,1
1109,0.92,3
1110,0.88,2
1111,0.84,2
1112,0.81,2
1113,0.76,4
1114,0.82,2
1115,0.77,2
1116,0.79,3
1117,0.86,3
1118,0.58,16
1119,0.84,5
1120,0.91,2
1121,0.93,1
1122,0.88,3
1123,0.41,15
1124,0.38,26
1125,0.34,23
1126,0.35,23
1127,0.05,78
1128,0.48,34
1129,0.7,8
1130,0.46,25
1131,0.69,4
1132,0.35,9
1133,0.16,19
1134,0.33,42
1135,0.92,1
1136,0.73,8
1137,0.23,28
1138,0.29,28
1139,0.34,30
1140,0.51,7
1141,0.31,17
1142,0.4,11
1143,0.72,4
1144,0.89,2
1145,0.91,1
1146,0.92,2
1147,0.83,4
1148,0.58,13
1149,0.26,19
1150,0.61,28
1151,0.83,4
1152,0.88,2
1153,0.89,1
1154,0.86,3
1155,0.9,2
1156,0.87,2
1157,0.59,12
1158,0.95,1
1159,0.99,1
1160,0.94,2
1161,0.92,2
1162,0.9,2
1163,0.87,2
1164,0.74,5
1165,0.65,11
1166,0.86,2
1167,0.94,1
1168,0.88,2
1169,0.94,1
1170,0.88,4
1171,0.9,3
1172,0.89,2
1173,0.94,1
1174,0.95,2
1175,0.87,3
1176,0.93,1
1177,0.88,2
1178,0.94,2
1179,0.9,2
1180,0.93,1
1181,0.8,2
1182,0.88,2
1183,0.93,1
1184,0.9,1
1185,0.98,1
1186,0.92,1
1187,0.92,1
1188,0.91,2
1189,0.85,2
1190,0.84,2
1191,0.88,2
1192,0.85,2
1193,0.86,3
1194,0.83,3
1195,0.89,1
1196,0.92,1
1197,0.91,2
1198,0.96,1
1199,0.91,1
1200,0.98,1
1201,0.93,2
1202,0.89,4
1203,0.82,3
1204,0.88,2
1205,0.87,2
1206,0.86,2
1207,0.92,1
1208,0.92,1
1209,0.88,2
1210,0.92,1
1211,0.78,3
1212,0.95,1
1213,0.9,2
1214,0.83,2
1215,0.92,2
1216,0.87,3
1217,0.65,14
1218,0.88,3
1219,0.8,6
1220,0.87,2
1221,0.77,5
1222,0.82,8
1223,0.54,32
1224,0.83,5
1225,0.78,8
1226,0.92,2
1227,0.9,3
1228,0.85,3
1229,0.68,8
1230,0.38,19
1231,0.88,1
1232,0.89,5
1233,0.79,4
1234,0.9,2
1235,0.92,1
1236,0.88,4
1237,0.89,2
1238,0.84,4
1239,0.67,12
1240,0.78,9
1241,0.86,2
1242,0.87,4
1243,0.87,2
1244,0.84,2
1245,0.94,2
1246,0.93,1
1247,0.91,2
1248,0.91,2
1249,0.87,3
1250,0.9,2
1251,0.99,1
1252,0.91,1
1253,0.91,1
1254,0.9,2
1255,0.83,5
1256,0.94,2
1257,0.84,2
1258,0.87,3
1259,0.91,1
1260,0.91,1
1261,0.93,1
1262,0.84,3
1263,0.91,1
1264,0.89,3
1265,0.88,3
1266,0.84,2
1267,0.9,1
1268,0.94,1
1269,0.93,2
1270,0.87,2
1271,0.88,2
1272,0.88,2
1273,0.88,1
1274,0.93,2
1275,0.91,1
1276,0.93,2
1277,0.95,2
1278,0.84,2
1279,0.87,3
1280,0.91,2
1281,0.88,3
1282,0.94,2
1283,0.9,1
1284,0.85,2
1285,0.92,2
1286,0.9,1
1287,0.95,1
1288,0.86,2
1289,0.91,2
1290,0.89,1
1291,0.83,3
1292,0.84,2
1293,0.92,1
1294,0.95,2
1295,0.97,1
1296,0.89,2
1297,0.94,1
1298,0.88,2
1299,0.88,1
1300,0.92,2
1301,0.94,2
1302,0.96,1
1303,0.89,4
1304,0.92,2
1305,0.82,3
1306,0.88,2
1307,0.86,2
1308,0.91,2
1309,0.88,3
1310,0.89,2
1311,0.91,2
1312,0.93,2
1313,0.86,2
1314,0.87,1
1315,1.0,0
1316,0.89,3
1317,0.83,2
1318,0.88,2
1319,0.85,3
1320,0.93,2
1321,0.85,2
1322,0.81,3
1323,0.86,2
1324,0.9,1
1325,0.86,2
1326,0.91,2
1327,0.92,1
1328,1.0,0
1329,0.87,2
1330,0.92,2
1331,0.85,2
1332,0.85,2
1333,0.94,1
1334,0.83,2
1335,0.85,2
1336,0.91,2
1337,0.87,2
1338,0.9,2
1339,0.94,1
1340,0.89,1
1341,0.94,1
1342,0.9,1
1343,0.93,2
1344,0.88,2
1345,0.92,2
1346,0.87,3
1347,0.97,2
1348,0.89,2
1349,0.85,1
1350,0.92,1
1351,0.89,1
1352,0.87,1
1353,0.88,1
1354,0.95,1
1355,0.92,2
1356,0.9,2
1357,0.87,2
1358,0.86,2
1359,0.86,2
1360,0.9,2
1361,0.89,1
1362,0.95,1
1363,0.9,2
1364,0.92,2
1365,0.93,2
1366,0.96,1
1367,0.87,2
1368,0.86,2
1369,0.82,2
1370,0.85,4
1371,0.86,2
1372,0.81,3
1373,0.76,3
1374,0.88,2
1375,0.88,2
1376,0.89,2
1377,0.83,3
